,verdict,buying,maint,doors,persons,lug_boot,safety,condprob
592,unacc,high,med,5more,2,med,low,1.0
593,acc,med,high,2,4,big,med,1.0
594,unacc,med,vhigh,4,4,small,low,1.0
595,unacc,vhigh,med,4,2,big,med,1.0
596,acc,vhigh,vhigh,2,4,small,med,0.25
597,acc,high,low,3,more,med,med,1.0
598,unacc,vhigh,high,4,2,small,med,1.0
599,acc,vhigh,med,5more,more,med,med,1.0
600,acc,high,low,4,more,med,high,1.0
601,acc,med,high,5more,4,small,high,1.0
602,unacc,low,med,4,2,big,low,1.0
603,unacc,low,vhigh,2,2,big,low,1.0
604,unacc,med,high,5more,more,med,low,1.0
605,good,low,med,4,more,small,high,1.0
606,unacc,high,vhigh,4,4,small,med,1.0
607,unacc,med,high,4,2,small,low,1.0
608,unacc,low,med,4,2,small,high,1.0
609,unacc,vhigh,high,2,more,big,high,1.0
610,unacc,high,high,4,more,big,high,0.5
611,unacc,low,med,5more,4,big,low,1.0
612,unacc,med,low,2,2,big,med,1.0
613,acc,med,vhigh,2,4,small,high,1.0
614,unacc,high,low,5more,more,small,med,1.0
615,unacc,med,med,5more,2,small,high,1.0
616,unacc,low,med,3,2,small,med,1.0
617,unacc,med,med,5more,more,big,low,1.0
618,unacc,vhigh,high,3,more,med,low,1.0
619,unacc,med,med,2,2,small,low,1.0
620,unacc,med,med,4,2,big,low,1.0
621,good,med,low,4,4,med,med,1.0
622,unacc,med,high,3,more,big,low,1.0
623,unacc,low,vhigh,4,2,big,low,1.0
624,unacc,low,med,3,2,big,med,1.0
625,acc,low,med,3,4,med,med,1.0
626,unacc,high,med,2,2,med,med,1.0
627,unacc,high,high,4,4,small,med,1.0
628,acc,med,high,5more,more,small,high,1.0
629,acc,low,high,3,more,small,high,1.0
630,unacc,high,med,5more,more,small,low,1.0
631,acc,vhigh,low,2,more,big,high,1.0
632,unacc,low,low,4,more,big,low,1.0
633,unacc,low,vhigh,4,4,small,med,1.0
634,good,med,low,5more,more,big,med,1.0
635,acc,low,vhigh,4,4,big,high,1.0
636,unacc,vhigh,med,4,2,med,high,1.0
637,unacc,low,low,4,2,big,med,1.0
638,good,low,med,3,4,big,med,1.0
639,unacc,low,med,2,more,big,low,1.0
640,unacc,high,low,2,more,small,high,1.0
641,unacc,vhigh,vhigh,3,2,med,low,0.75
642,unacc,low,low,5more,more,med,low,1.0
643,unacc,high,high,4,more,med,med,0.5
644,unacc,med,low,4,2,med,low,1.0
645,unacc,vhigh,high,5more,2,big,high,1.0
646,acc,med,vhigh,2,more,big,med,1.0
647,unacc,low,high,4,2,big,low,1.0
648,unacc,high,vhigh,2,more,med,low,1.0
649,acc,low,vhigh,5more,4,big,high,1.0
650,acc,high,med,4,more,big,high,1.0
651,acc,low,high,2,4,small,high,1.0
652,unacc,high,low,5more,4,small,med,1.0
653,vgood,med,med,3,more,med,high,1.0
654,unacc,med,vhigh,2,2,med,low,1.0
655,unacc,med,vhigh,4,4,big,low,1.0
656,unacc,med,vhigh,2,2,big,low,1.0
657,unacc,high,high,4,more,med,high,0.5
658,vgood,low,med,5more,more,med,high,1.0
659,unacc,med,med,3,more,med,low,1.0
660,unacc,low,high,3,more,med,low,1.0
661,acc,high,med,2,more,big,high,1.0
662,acc,med,high,5more,4,med,high,1.0
663,acc,vhigh,low,5more,4,big,high,1.0
664,unacc,vhigh,med,3,more,small,med,1.0
665,unacc,low,vhigh,4,more,big,low,1.0
666,acc,med,high,5more,4,big,high,1.0
667,unacc,low,high,5more,2,med,low,1.0
668,acc,high,low,3,4,med,high,1.0
669,acc,vhigh,med,4,4,big,med,1.0
670,unacc,high,high,5more,2,big,low,1.0
671,acc,high,low,4,more,med,med,1.0
672,unacc,med,high,5more,2,small,med,1.0
673,good,low,low,5more,more,big,med,1.0
674,unacc,vhigh,high,5more,2,med,high,1.0
675,unacc,low,vhigh,4,2,big,high,1.0
676,good,med,low,3,more,big,med,1.0
677,unacc,med,med,2,2,small,high,1.0
678,unacc,high,vhigh,2,4,big,low,1.0
679,unacc,high,vhigh,5more,more,big,low,1.0
680,unacc,low,high,3,4,small,low,1.0
681,unacc,vhigh,high,5more,2,small,high,1.0
682,unacc,high,med,2,2,big,high,1.0
683,unacc,low,high,3,more,big,low,1.0
684,acc,med,med,3,more,med,med,1.0
685,acc,low,vhigh,2,more,med,high,1.0
686,acc,low,vhigh,3,4,big,med,1.0
687,unacc,high,vhigh,5more,2,med,high,1.0
688,acc,med,med,4,more,small,med,1.0
689,unacc,high,med,5more,2,big,med,1.0
690,unacc,med,vhigh,4,2,small,low,1.0
691,unacc,med,vhigh,3,more,small,med,1.0
692,unacc,vhigh,high,5more,4,big,high,1.0
693,unacc,low,low,2,2,small,med,1.0
694,unacc,high,low,5more,4,small,low,1.0
695,acc,low,vhigh,2,4,big,med,1.0
696,unacc,vhigh,vhigh,2,more,big,high,0.75
697,vgood,med,low,3,more,med,high,1.0
698,unacc,low,high,2,2,big,low,1.0
699,unacc,high,vhigh,3,2,med,med,1.0
700,unacc,low,vhigh,5more,more,small,med,1.0
701,acc,high,low,5more,4,med,high,1.0
702,unacc,med,high,3,more,small,med,1.0
703,vgood,low,low,2,4,big,high,1.0
704,unacc,low,med,3,2,big,high,1.0
705,unacc,vhigh,med,2,more,small,high,1.0
706,acc,low,high,3,more,small,med,1.0
707,acc,high,high,3,4,med,high,0.5
708,unacc,med,high,5more,2,med,low,1.0
709,good,low,med,3,4,small,high,1.0
710,unacc,vhigh,low,4,2,small,med,1.0
711,unacc,low,high,5more,2,small,low,1.0
712,unacc,med,high,4,more,small,med,1.0
713,good,low,low,5more,4,small,high,1.0
714,unacc,high,high,2,2,med,med,1.0
715,acc,high,med,5more,4,big,med,1.0
716,unacc,vhigh,med,4,2,med,med,1.0
717,unacc,high,med,3,2,big,med,1.0
718,unacc,med,low,2,2,med,high,1.0
719,acc,med,vhigh,4,4,med,med,1.0
720,unacc,vhigh,vhigh,5more,more,med,med,1.0
721,unacc,low,vhigh,5more,2,big,low,1.0
722,unacc,low,high,2,more,med,low,1.0
723,unacc,high,med,2,2,small,high,1.0
724,unacc,med,med,4,4,small,low,1.0
725,unacc,high,med,5more,2,big,low,1.0
726,unacc,med,low,2,4,small,low,1.0
727,unacc,vhigh,vhigh,2,more,small,med,0.75
728,acc,low,vhigh,3,4,small,high,1.0
729,acc,low,vhigh,5more,4,small,high,1.0
730,good,low,med,5more,more,med,med,1.0
731,unacc,vhigh,med,3,4,big,low,1.0
732,unacc,vhigh,vhigh,3,4,med,low,1.0
733,unacc,low,high,2,2,small,high,1.0
734,unacc,high,high,5more,2,small,high,1.0
735,acc,low,vhigh,4,4,small,high,1.0
736,unacc,low,med,5more,2,big,low,1.0
737,unacc,med,high,4,4,small,med,1.0
738,unacc,low,low,4,2,small,high,1.0
739,unacc,low,low,5more,more,big,low,1.0
740,unacc,high,med,2,2,small,med,1.0
741,acc,med,vhigh,2,more,big,high,1.0
742,vgood,low,med,3,more,big,high,1.0
743,unacc,low,vhigh,3,more,small,med,1.0
744,unacc,high,high,2,more,small,med,1.0
745,unacc,high,high,3,2,big,high,1.0
746,unacc,med,vhigh,5more,more,small,med,1.0
747,unacc,high,low,2,2,med,low,1.0
748,unacc,high,vhigh,2,2,med,high,1.0
749,acc,vhigh,low,3,more,big,med,1.0
750,unacc,low,high,2,4,big,low,1.0
751,unacc,med,low,4,4,med,low,1.0
752,unacc,high,low,2,2,small,low,1.0
753,unacc,high,high,2,4,small,low,1.0
754,unacc,high,med,5more,more,big,low,1.0
755,unacc,vhigh,vhigh,2,2,small,high,0.3333333333333333
756,acc,low,high,3,more,big,med,1.0
757,unacc,high,high,2,4,big,low,1.0
758,unacc,high,vhigh,3,more,big,low,1.0
759,unacc,high,vhigh,4,more,small,med,1.0
760,unacc,low,low,2,4,med,low,1.0
761,unacc,low,vhigh,2,2,small,high,1.0
762,unacc,high,vhigh,3,4,small,high,1.0
763,unacc,vhigh,high,3,2,small,high,1.0
764,unacc,low,high,4,2,med,high,1.0
765,unacc,med,low,4,2,small,low,1.0
766,unacc,vhigh,med,2,2,big,med,1.0
767,unacc,high,low,2,2,big,med,1.0
768,unacc,low,low,3,2,big,low,1.0
769,unacc,vhigh,vhigh,3,4,small,high,1.0
770,acc,low,low,3,more,small,med,1.0
771,acc,med,high,3,4,big,high,1.0
772,unacc,high,high,5more,2,med,med,1.0
773,unacc,high,low,5more,4,big,low,1.0
774,unacc,high,vhigh,4,2,small,high,1.0
775,unacc,high,vhigh,5more,more,med,low,1.0
776,unacc,low,high,4,2,med,med,1.0
777,unacc,high,vhigh,4,more,big,med,1.0
778,unacc,med,low,2,more,big,low,1.0
779,unacc,med,med,3,2,med,low,1.0
780,unacc,low,vhigh,2,2,small,low,1.0
781,unacc,high,vhigh,3,4,med,high,1.0
782,unacc,med,high,4,more,small,low,1.0
783,acc,med,med,4,4,big,med,1.0
784,acc,med,vhigh,4,4,small,high,1.0
785,acc,med,vhigh,3,more,med,med,1.0
786,acc,high,high,3,more,med,high,0.5
787,good,low,med,4,4,small,high,1.0
788,unacc,med,med,5more,2,big,low,1.0
789,acc,med,vhigh,4,4,med,high,1.0
790,unacc,vhigh,high,4,more,big,med,1.0
791,vgood,low,low,5more,more,med,high,1.0
792,acc,high,high,2,4,big,med,0.5
793,acc,high,low,3,4,big,med,1.0
794,acc,low,high,5more,more,small,high,1.0
795,unacc,low,vhigh,3,2,med,low,1.0
796,unacc,vhigh,low,5more,2,small,high,1.0
797,unacc,med,high,2,2,med,med,1.0
798,acc,med,low,2,4,small,med,1.0
799,unacc,high,vhigh,4,2,med,med,1.0
800,acc,low,high,5more,4,med,med,1.0
801,unacc,high,high,4,4,big,high,0.5
802,good,low,low,4,4,small,high,1.0
803,unacc,vhigh,med,4,more,big,low,1.0
804,unacc,low,vhigh,2,2,med,low,1.0
805,unacc,low,high,2,more,big,low,1.0
806,unacc,low,low,4,2,small,med,1.0
807,acc,high,low,2,4,big,high,1.0
808,unacc,low,low,2,more,med,low,1.0
809,unacc,high,low,5more,2,big,high,1.0
810,unacc,vhigh,vhigh,2,more,big,low,0.75
811,unacc,high,vhigh,4,2,small,med,1.0
812,unacc,vhigh,high,2,more,small,low,1.0
813,unacc,high,med,3,more,small,med,1.0
814,unacc,low,low,3,2,small,high,1.0
815,unacc,low,high,5more,2,small,med,1.0
816,unacc,high,vhigh,4,more,small,high,1.0
817,acc,low,low,3,4,med,med,1.0
818,unacc,vhigh,low,2,2,small,high,1.0
819,unacc,med,high,2,more,med,low,1.0
820,unacc,vhigh,low,2,2,big,high,1.0
821,unacc,high,low,3,more,small,med,1.0
822,unacc,low,vhigh,3,4,med,med,1.0
823,unacc,med,vhigh,3,2,small,low,1.0
824,unacc,high,low,3,2,small,med,1.0
825,good,med,low,3,more,med,med,1.0
826,unacc,high,vhigh,3,4,big,high,1.0
827,acc,high,high,5more,4,med,med,0.5
828,unacc,med,high,4,2,med,high,1.0
829,unacc,vhigh,high,2,4,med,high,1.0
830,acc,high,low,5more,4,small,high,1.0
831,unacc,med,low,5more,2,small,med,1.0
832,unacc,med,low,2,2,small,high,1.0
833,unacc,vhigh,med,3,2,med,med,1.0
834,unacc,vhigh,vhigh,2,2,big,low,0.75
835,unacc,high,vhigh,2,4,big,high,1.0
836,unacc,high,vhigh,4,2,med,low,1.0
837,unacc,med,low,3,more,small,low,1.0
838,acc,med,high,3,more,big,med,1.0
839,acc,med,vhigh,2,more,med,high,1.0
840,unacc,med,low,2,more,small,med,1.0
841,unacc,vhigh,med,4,2,small,low,1.0
842,unacc,med,med,4,2,small,high,1.0
843,unacc,low,low,2,2,big,high,1.0
844,unacc,high,vhigh,3,more,med,high,1.0
845,unacc,vhigh,high,2,4,med,med,1.0
846,acc,vhigh,med,2,4,med,high,1.0
847,unacc,vhigh,med,4,4,med,low,1.0
848,vgood,med,low,2,more,big,high,1.0
849,acc,vhigh,low,2,4,small,high,1.0
850,unacc,vhigh,low,5more,2,big,high,1.0
851,unacc,med,med,3,2,small,med,1.0
852,unacc,vhigh,high,2,4,big,med,1.0
853,unacc,vhigh,med,4,4,big,low,1.0
854,unacc,vhigh,vhigh,3,more,med,med,1.0
855,unacc,vhigh,high,3,more,big,med,1.0
856,acc,med,med,2,more,big,med,1.0
857,unacc,high,vhigh,3,more,med,med,1.0
858,unacc,low,med,2,2,med,med,1.0
859,unacc,vhigh,med,3,2,big,med,1.0
860,acc,med,high,4,4,big,med,1.0
861,unacc,vhigh,med,4,2,small,med,1.0
862,unacc,med,med,2,2,med,low,1.0
863,unacc,vhigh,low,4,2,big,low,1.0
864,good,low,med,3,4,med,high,1.0
865,acc,low,vhigh,5more,more,big,high,1.0
866,acc,vhigh,med,5more,4,med,med,1.0
867,unacc,high,med,2,2,big,low,1.0
868,unacc,low,high,4,2,big,med,1.0
869,good,med,low,5more,4,med,med,1.0
870,good,med,low,5more,4,small,high,1.0
871,unacc,med,high,3,4,big,low,1.0
872,unacc,high,med,2,2,med,high,1.0
873,unacc,vhigh,med,2,more,med,low,1.0
874,acc,low,med,2,4,med,med,1.0
875,unacc,med,med,5more,4,med,low,1.0
876,unacc,vhigh,vhigh,2,2,med,med,0.6666666666666666
877,acc,high,low,5more,more,big,med,1.0
878,unacc,high,high,4,4,med,high,0.5
879,acc,vhigh,med,3,more,big,high,1.0
880,good,low,med,2,4,med,high,1.0
881,unacc,high,vhigh,2,more,big,med,1.0
882,unacc,vhigh,vhigh,4,more,big,med,1.0
883,unacc,high,med,4,more,small,low,1.0
884,unacc,high,low,5more,2,med,low,1.0
885,acc,med,low,3,4,med,med,1.0
886,unacc,vhigh,high,4,2,med,med,1.0
887,acc,low,vhigh,3,4,med,high,1.0
888,acc,med,high,2,4,small,high,1.0
889,acc,high,med,3,4,big,high,1.0
890,unacc,med,vhigh,2,more,small,med,1.0
891,unacc,low,vhigh,5more,4,small,low,1.0
892,unacc,vhigh,vhigh,4,4,med,high,1.0
893,unacc,vhigh,low,3,2,small,high,1.0
894,unacc,low,low,5more,2,med,high,1.0
895,acc,vhigh,low,4,more,med,high,1.0
896,unacc,high,vhigh,2,more,big,high,1.0
897,unacc,vhigh,high,5more,more,big,low,1.0
898,good,low,low,5more,more,small,high,1.0
899,unacc,med,high,4,2,med,low,1.0
900,unacc,high,low,4,more,med,low,1.0
901,acc,high,low,4,more,small,high,1.0
902,unacc,low,vhigh,3,2,small,low,1.0
903,unacc,med,med,2,more,med,low,1.0
904,acc,high,med,3,4,big,med,1.0
905,unacc,med,vhigh,5more,more,med,low,1.0
906,unacc,med,low,3,2,med,med,1.0
907,good,low,low,2,4,med,high,1.0
908,unacc,vhigh,vhigh,4,2,med,med,1.0
909,acc,med,med,4,more,med,med,1.0
910,unacc,med,vhigh,2,2,small,med,1.0
911,unacc,vhigh,vhigh,3,more,small,med,1.0
912,unacc,vhigh,high,3,2,big,med,1.0
913,unacc,vhigh,med,4,2,med,low,1.0
914,acc,med,high,2,4,med,high,1.0
915,unacc,high,low,3,2,big,med,1.0
916,vgood,med,low,4,4,med,high,1.0
917,unacc,vhigh,vhigh,3,4,med,high,1.0
918,unacc,vhigh,vhigh,2,2,small,low,0.3333333333333333
919,unacc,high,med,2,4,small,med,1.0
920,vgood,low,med,5more,4,big,high,1.0
921,unacc,high,vhigh,3,2,big,high,1.0
922,unacc,low,med,3,4,big,low,1.0
923,acc,vhigh,med,2,4,big,high,1.0
924,acc,vhigh,vhigh,2,more,small,high,0.25
925,unacc,high,vhigh,2,more,small,low,1.0
926,unacc,high,med,2,4,med,low,1.0
927,unacc,vhigh,med,2,2,med,high,1.0
928,unacc,vhigh,low,5more,2,small,low,1.0
929,acc,low,vhigh,3,more,big,high,1.0
930,acc,vhigh,med,5more,4,med,high,1.0
931,unacc,high,high,5more,2,med,low,1.0
932,unacc,med,low,5more,4,small,low,1.0
933,unacc,vhigh,vhigh,5more,4,big,low,1.0
934,acc,med,med,5more,4,med,med,1.0
935,good,low,low,3,4,big,med,1.0
936,unacc,vhigh,med,3,more,big,low,1.0
937,good,low,low,4,4,med,med,1.0
938,unacc,high,vhigh,3,more,small,low,1.0
939,unacc,high,med,3,2,small,low,1.0
940,unacc,low,low,5more,2,small,high,1.0
941,unacc,med,high,3,2,small,med,1.0
942,acc,vhigh,med,4,more,med,high,1.0
943,acc,high,low,5more,more,big,high,1.0
944,unacc,med,high,4,2,small,med,1.0
945,acc,vhigh,med,4,more,big,med,1.0
946,unacc,med,low,4,more,small,low,1.0
947,vgood,low,high,3,4,big,high,1.0
948,unacc,vhigh,high,4,2,big,high,1.0
949,acc,low,med,5more,more,small,med,1.0
950,unacc,low,low,2,more,small,med,1.0
951,acc,med,med,3,more,small,med,1.0
952,acc,med,high,3,more,med,high,1.0
953,unacc,low,vhigh,4,more,small,low,1.0
954,acc,vhigh,med,4,4,med,high,1.0
955,unacc,high,high,3,2,small,med,1.0
956,good,low,low,5more,4,med,med,1.0
957,unacc,low,high,2,2,med,low,1.0
958,good,low,low,3,more,small,high,1.0
959,unacc,low,high,2,2,small,low,1.0
960,unacc,high,high,3,more,big,high,0.5
961,vgood,med,low,2,4,big,high,1.0
962,unacc,vhigh,high,5more,more,big,high,1.0
963,unacc,high,low,2,2,med,high,1.0
964,unacc,low,low,2,4,big,low,1.0
965,unacc,low,low,2,more,small,high,1.0
966,unacc,low,vhigh,5more,2,small,high,1.0
967,acc,low,low,2,4,med,med,1.0
968,acc,low,high,4,more,small,med,1.0
969,unacc,high,vhigh,5more,2,med,low,1.0
970,vgood,med,low,5more,4,med,high,1.0
971,good,med,low,3,4,big,med,1.0
972,unacc,high,low,4,2,med,high,1.0
973,unacc,vhigh,low,3,4,med,low,1.0
974,unacc,low,vhigh,4,2,small,low,1.0
975,unacc,med,high,5more,2,small,low,1.0
976,unacc,high,high,2,4,med,med,1.0
977,good,med,low,4,more,big,med,1.0
978,unacc,high,high,2,2,small,high,1.0
979,vgood,low,med,4,4,big,high,1.0
980,unacc,high,high,3,2,big,low,1.0
981,unacc,med,vhigh,2,4,med,med,1.0
982,acc,med,vhigh,5more,more,small,high,1.0
983,unacc,vhigh,vhigh,3,2,big,med,1.0
984,acc,high,low,3,4,small,high,1.0
985,unacc,high,vhigh,5more,4,small,high,1.0
986,unacc,high,vhigh,5more,4,med,high,1.0
987,unacc,low,vhigh,5more,2,big,med,1.0
988,acc,high,med,3,4,small,high,1.0
989,unacc,low,low,5more,4,med,low,1.0
990,unacc,vhigh,vhigh,5more,2,big,med,1.0
991,unacc,vhigh,high,4,2,big,low,1.0
992,unacc,vhigh,high,3,2,med,low,1.0
993,unacc,low,high,4,2,small,med,1.0
994,unacc,high,vhigh,5more,4,big,med,1.0
995,acc,med,vhigh,2,4,med,high,1.0
996,unacc,vhigh,low,2,4,big,low,1.0
997,acc,low,low,2,4,small,med,1.0
998,acc,low,vhigh,2,4,small,high,1.0
999,unacc,high,vhigh,2,2,big,low,1.0
1000,unacc,high,vhigh,4,4,big,med,1.0
1001,acc,low,vhigh,3,more,small,high,1.0
1002,unacc,med,vhigh,5more,2,big,high,1.0
1003,unacc,low,high,4,more,big,low,1.0
1004,unacc,vhigh,high,2,4,big,high,1.0
1005,unacc,vhigh,vhigh,5more,2,med,low,1.0
1006,unacc,med,low,5more,more,big,low,1.0
1007,unacc,vhigh,vhigh,2,2,big,med,0.75
1008,acc,high,high,4,more,med,high,0.5
1009,unacc,low,vhigh,4,2,med,low,1.0
1010,unacc,high,high,5more,4,big,low,1.0
1011,acc,med,low,4,more,small,med,1.0
1012,unacc,high,high,4,2,small,low,1.0
1013,unacc,vhigh,vhigh,3,4,small,low,1.0
1014,unacc,med,med,5more,2,big,med,1.0
1015,unacc,high,low,2,more,small,low,1.0
1016,acc,med,high,3,4,small,high,1.0
1017,acc,med,med,5more,4,small,med,1.0
1018,acc,med,vhigh,4,more,med,high,1.0
1019,unacc,high,low,2,4,small,med,1.0
1020,unacc,high,high,4,2,small,med,1.0
1021,unacc,vhigh,med,4,4,small,med,1.0
1022,unacc,low,high,4,more,small,low,1.0
1023,unacc,med,vhigh,4,2,big,med,1.0
1024,unacc,med,vhigh,2,4,big,low,1.0
1025,unacc,vhigh,high,5more,4,small,high,1.0
1026,acc,high,med,4,more,big,med,1.0
1027,vgood,med,med,5more,4,big,high,1.0
1028,unacc,vhigh,vhigh,5more,4,big,high,1.0
1029,acc,vhigh,low,4,more,big,med,1.0
1030,unacc,vhigh,med,2,2,big,low,1.0
1031,unacc,med,high,2,more,med,med,1.0
1032,unacc,med,low,2,2,small,med,1.0
1033,acc,high,high,3,more,big,high,0.5
1034,good,low,med,5more,4,big,med,1.0
1035,vgood,low,low,3,4,big,high,1.0
1036,unacc,high,vhigh,5more,2,med,med,1.0
1037,unacc,high,vhigh,5more,4,med,low,1.0
1038,unacc,low,low,5more,more,small,low,1.0
1039,unacc,high,low,5more,2,small,med,1.0
1040,unacc,vhigh,high,3,more,med,med,1.0
1041,unacc,vhigh,med,4,more,small,low,1.0
1042,acc,med,high,3,more,small,high,1.0
1043,unacc,high,vhigh,5more,4,small,low,1.0
1044,unacc,high,high,5more,4,big,high,0.5
1045,unacc,vhigh,high,3,4,small,low,1.0
1046,unacc,high,high,5more,4,small,high,0.5
1047,unacc,med,med,2,4,med,low,1.0
1048,unacc,low,high,2,2,med,med,1.0
1049,unacc,vhigh,high,5more,4,med,med,1.0
1050,unacc,vhigh,vhigh,4,more,small,high,1.0
1051,unacc,low,high,4,2,small,low,1.0
1052,acc,low,low,5more,more,small,med,1.0
1053,unacc,med,high,2,2,small,high,1.0
1054,unacc,high,vhigh,5more,more,big,med,1.0
1055,vgood,med,med,4,more,med,high,1.0
1056,unacc,vhigh,low,2,4,small,med,1.0
1057,unacc,vhigh,med,4,2,big,low,1.0
1058,unacc,vhigh,low,3,2,big,med,1.0
1059,acc,low,low,2,more,med,med,1.0
1060,unacc,high,high,5more,4,small,med,1.0
1061,vgood,low,med,5more,4,med,high,1.0
1062,unacc,low,high,4,2,small,high,1.0
1063,unacc,vhigh,low,3,4,small,med,1.0
1064,unacc,high,vhigh,3,2,small,low,1.0
1065,unacc,med,vhigh,3,4,med,low,1.0
1066,unacc,low,high,3,2,big,low,1.0
1067,unacc,high,med,4,2,small,med,1.0
1068,unacc,low,vhigh,2,more,med,med,1.0
1069,unacc,high,vhigh,4,more,med,med,1.0
1070,unacc,vhigh,vhigh,5more,more,big,high,1.0
1071,unacc,low,med,4,more,med,low,1.0
1072,unacc,high,high,3,more,big,med,0.5
1073,unacc,high,vhigh,4,more,small,low,1.0
1074,unacc,med,med,2,4,small,low,1.0
1075,unacc,vhigh,high,2,more,big,med,1.0
1076,unacc,med,med,4,more,med,low,1.0
1077,unacc,high,vhigh,4,more,med,low,1.0
1078,unacc,med,med,4,2,big,high,1.0
1079,unacc,low,high,3,2,small,low,1.0
1080,unacc,low,high,3,2,big,high,1.0
1081,unacc,high,vhigh,3,2,big,low,1.0
1082,unacc,low,med,3,2,small,high,1.0
1083,unacc,vhigh,low,3,more,small,low,1.0
1084,unacc,med,vhigh,5more,2,med,med,1.0
1085,unacc,low,high,5more,more,big,low,1.0
1086,unacc,high,low,4,more,small,med,1.0
1087,unacc,high,vhigh,3,more,big,high,1.0
1088,acc,low,med,4,4,small,med,1.0
1089,unacc,med,high,4,4,small,low,1.0
1090,unacc,vhigh,med,5more,2,small,low,1.0
1091,acc,vhigh,low,4,4,med,high,1.0
1092,unacc,med,med,2,more,small,high,1.0
1093,acc,high,med,5more,4,big,high,1.0
1094,unacc,high,high,5more,more,small,med,1.0
1095,unacc,vhigh,high,4,2,small,high,1.0
1096,unacc,low,med,3,2,small,low,1.0
1097,unacc,vhigh,med,5more,2,big,med,1.0
1098,unacc,med,vhigh,5more,2,med,high,1.0
1099,unacc,low,med,2,2,small,low,1.0
1100,acc,vhigh,low,2,more,big,med,1.0
1101,good,low,med,4,more,big,med,1.0
1102,unacc,low,med,3,2,med,high,1.0
1103,unacc,med,vhigh,4,2,big,low,1.0
1104,acc,low,vhigh,2,4,med,high,1.0
1105,unacc,high,high,2,4,small,med,1.0
1106,unacc,high,vhigh,5more,more,med,high,1.0
1107,unacc,med,high,5more,2,small,high,1.0
1108,acc,med,high,3,4,big,med,1.0
1109,unacc,high,vhigh,2,more,small,med,1.0
1110,unacc,vhigh,vhigh,4,more,med,med,1.0
1111,unacc,vhigh,med,5more,more,med,low,1.0
1112,unacc,vhigh,vhigh,4,more,med,high,1.0
1113,acc,med,med,4,4,small,med,1.0
1114,unacc,low,low,4,2,med,high,1.0
1115,unacc,high,med,2,4,small,low,1.0
1116,unacc,vhigh,med,4,more,small,med,1.0
1117,unacc,vhigh,low,3,more,big,low,1.0
1118,unacc,med,vhigh,4,2,small,high,1.0
1119,acc,vhigh,med,5more,more,med,high,1.0
1120,acc,med,med,2,4,small,med,1.0
1121,unacc,high,high,3,more,small,high,0.5
1122,unacc,high,low,3,2,med,low,1.0
1123,acc,high,high,3,4,small,high,0.5
1124,unacc,low,med,2,more,med,low,1.0
1125,unacc,vhigh,vhigh,2,2,med,low,0.3333333333333333
1126,good,low,med,4,4,big,med,1.0
1127,acc,vhigh,low,5more,4,big,med,1.0
1128,acc,high,high,4,more,big,med,0.5
1129,unacc,low,high,4,more,med,low,1.0
1130,unacc,low,vhigh,4,2,big,med,1.0
1131,acc,low,high,3,4,med,med,1.0
1132,unacc,low,high,2,4,small,low,1.0
1133,unacc,vhigh,med,2,4,small,med,1.0
1134,unacc,vhigh,high,5more,4,small,low,1.0
1135,unacc,low,med,4,2,big,med,1.0
1136,unacc,med,vhigh,2,2,small,low,1.0
1137,acc,vhigh,low,2,4,big,high,1.0
1138,unacc,med,vhigh,4,more,small,low,1.0
1139,acc,med,vhigh,3,4,big,high,1.0
1140,unacc,vhigh,vhigh,3,2,med,high,0.75
1141,acc,high,low,5more,more,med,high,1.0
1142,acc,vhigh,vhigh,2,2,small,med,0.6666666666666666
1143,acc,med,vhigh,4,4,big,high,1.0
1144,unacc,vhigh,med,3,more,small,low,1.0
1145,acc,high,med,3,more,big,med,1.0
1146,unacc,vhigh,vhigh,3,more,big,low,1.0
1147,unacc,med,vhigh,2,2,big,high,1.0
1148,unacc,med,low,5more,2,small,high,1.0
1149,unacc,high,vhigh,5more,4,big,low,1.0
1150,acc,med,vhigh,4,more,small,high,1.0
1151,unacc,high,vhigh,3,more,med,low,1.0
1152,unacc,vhigh,low,4,more,med,low,1.0
1153,unacc,vhigh,vhigh,2,2,big,high,0.75
1154,unacc,low,med,3,more,small,low,1.0
1155,acc,vhigh,vhigh,2,2,med,low,0.6666666666666666
1156,unacc,vhigh,low,2,4,med,low,1.0
1157,acc,vhigh,low,3,more,small,high,1.0
1158,unacc,high,vhigh,2,4,small,low,1.0
1159,unacc,vhigh,med,5more,4,big,low,1.0
1160,unacc,low,med,5more,4,small,low,1.0
1161,acc,med,high,4,more,big,med,1.0
1162,unacc,high,high,3,2,big,med,1.0
1163,acc,low,high,4,4,big,med,1.0
1164,acc,vhigh,vhigh,2,more,med,high,0.25
1165,unacc,med,vhigh,3,2,small,med,1.0
1166,unacc,high,high,3,4,big,med,0.5
1167,unacc,med,low,2,more,small,low,1.0
1168,unacc,low,med,2,2,med,low,1.0
1169,vgood,med,med,5more,more,med,high,1.0
1170,unacc,high,vhigh,3,more,small,med,1.0
1171,unacc,vhigh,high,4,4,small,med,1.0
1172,vgood,low,med,5more,more,big,high,1.0
1173,acc,high,med,4,4,small,high,1.0
1174,unacc,med,med,2,2,big,med,1.0
1175,unacc,high,high,3,2,med,low,1.0
1176,unacc,low,low,4,2,big,high,1.0
1177,acc,vhigh,low,3,4,big,high,1.0
1178,unacc,med,low,3,2,small,high,1.0
